PubMedID,Entity_1,Entity_2,Sentence,BioBERT_Relation,PubMedBERT_Relation,BioLinkBERT_Relation,Relation,Source
1290408,Granulocyte-macrophage colony-stimulating factor,cytokine,Granulocyte-macrophage colony-stimulating factor (GM-CSF) is a cytokine which can stimulate the proliferation and functions of eosinophils and neutrophils.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,LLM_JUDGE
1294020,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL-6) is a multifunctional cytokine which has been suggested to function as an autocrine mitogen in psoriatic epidermis.,Association,Association,NO_RELATION,Association,ENCODER_ENSEMBLE
1294020,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL-6) is a multifunctional cytokine which has been suggested to function as an autocrine mitogen in psoriatic epidermis.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,LLM_JUDGE
1300486,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) plays a significant role in the pathogenesis of central nervous system infections.,Association,Association,NO_RELATION,Association,ENCODER_ENSEMBLE
1307490,Interleukin-2,cytokine,Interleukin-2 (IL-2) is a cytokine with potent immunomodulating properties which has shown considerable antitumour activity in preclinical models.,Association,Association,NO_RELATION,Association,ENCODER_ENSEMBLE
1307490,Interleukin-2,cytokine,Interleukin-2 (IL-2) is a cytokine with potent immunomodulating properties which has shown considerable antitumour activity in preclinical models.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,LLM_JUDGE
1307623,Hepatocyte growth factor,hepatotrophic factor,"Hepatocyte growth factor (HGF) is the most potent mitogen for mature parenchymal hepatocytes in primary culture, and seems to be a hepatotrophic factor that acts as a trigger for liver regeneration after partial hepatectomy and liver injury.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,LLM_JUDGE
1310016,Tumor necrosis factor,PTHrP,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,Association,Association,NO_RELATION,Association,ENCODER_ENSEMBLE
1310016,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,Association,Association,NO_RELATION,Association,ENCODER_ENSEMBLE
1310016,Tumor necrosis factor,parathyroid hormone-related protein,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,Association,Association,NO_RELATION,Association,ENCODER_ENSEMBLE
1310016,Tumor necrosis factor,parathyroid hormone-related protein,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,LLM_JUDGE
1311232,Interleukin-6,IL-1 alpha,"Interleukin-6 (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including IL-1 alpha, IL-1 beta, and angiotensin II.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,LLM_JUDGE
1311232,Interleukin-6,IL-1 beta,"Interleukin-6 (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including IL-1 alpha, IL-1 beta, and angiotensin II.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,LLM_JUDGE
1311566,Interleukin-6,IFN-gamma,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,NO_RELATION,NO_RELATION,NO_RELATION,ENCODER_ENSEMBLE
1311566,Interleukin-6,Mn-superoxide dismutase (Mn-SOD) protein,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,LLM_JUDGE
