PubMedID,Entity_1,Entity_2,Sentence,BioBERT_Relation,PubMedBERT_Relation,BioLinkBERT_Relation
1286614,Hepatocyte growth factor,heparin-binding polypeptide mitogen,"Hepatocyte growth factor (HGF), a heparin-binding polypeptide mitogen, stimulates DNA synthesis in adult rat and human hepatocytes and in several other cells of epithelial origin.",Association,NO_RELATION,NO_RELATION
1290408,Granulocyte-macrophage colony-stimulating factor,cytokine,Granulocyte-macrophage colony-stimulating factor (GM-CSF) is a cytokine which can stimulate the proliferation and functions of eosinophils and neutrophils.,Association,Association,NO_RELATION
1303245,Interleukin-8,neutrophil chemoattractants,Interleukin-8 (IL-8) is the prototype for a family of at least eight neutrophil chemoattractants whose genes map to human chromosome 4q13-q21.,Association,NO_RELATION,NO_RELATION
1307490,Interleukin-2,cytokine,Interleukin-2 (IL-2) is a cytokine with potent immunomodulating properties which has shown considerable antitumour activity in preclinical models.,Association,Association,NO_RELATION
1307623,Hepatocyte growth factor,hepatotrophic factor,"Hepatocyte growth factor (HGF) is the most potent mitogen for mature parenchymal hepatocytes in primary culture, and seems to be a hepatotrophic factor that acts as a trigger for liver regeneration after partial hepatectomy and liver injury.",Association,Association,NO_RELATION
1310016,Tumor necrosis factor,parathyroid hormone-related protein,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,Association,Association,NO_RELATION
1310016,Tumor necrosis factor,PTHrP,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,Association,Association,NO_RELATION
1311232,Interleukin-6,IL-1 alpha,"Interleukin-6 (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including IL-1 alpha, IL-1 beta, and angiotensin II.",Association,Association,NO_RELATION
1311232,Interleukin-6,IL-1 beta,"Interleukin-6 (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including IL-1 alpha, IL-1 beta, and angiotensin II.",Association,Association,NO_RELATION
1311566,Interleukin-6,Tumor Necrosis Factor,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,Association,NO_RELATION
1311566,Interleukin-6,TNF,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,Association,NO_RELATION
1311566,Interleukin-6,Interleukin-1,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,Association,NO_RELATION
1311566,Interleukin-6,IL-1,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.",Association,Association,NO_RELATION
